Model,Matching events,Non Matching events,AVG Matching Score (distance > 2km),AVG Non-Matching Score
sonar,14,27,2.0,0.667
sonar-pro,22,8,2.0,0.75
gpt-5-2025-08-07,11,45,2.0,0.867
gpt-4o-mini-search-preview,15,14,2.0,0.0
gpt-4o-search-preview,19,16,2.0,0.062
