Model,Matching events,Non Matching events,AVG Matching Score (distance > 2km),AVG Non-Matching Score
sonar,7,26,2.0,0.346
sonar-pro,12,22,2.0,0.364
gpt-5-2025-08-07,16,48,2.0,0.0
gpt-4o-mini-search-preview,2,23,2.0,0.0
gpt-4o-search-preview,2,27,2.0,0.037
