Model,Matching events,Non Matching events,AVG Matching Score (distance > 2km),AVG Non-Matching Score
sonar,16,0,2.0,0
sonar-pro,18,0,2.0,0
gpt-5-2025-08-07,29,0,2.0,0
gpt-4o-mini-search-preview,12,0,2.0,0
gpt-4o-search-preview,5,0,2.0,0
